cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
173934	Organic oxygen compounds	Organooxygen compounds	Ethers	Alkyl aryl ethers	Alkyl aryl ethers
133560	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
180254	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
180224	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
12383	Organoheterocyclic compounds	Diazines	Pyrazines	unclassified	Pyrazines
1939	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	unclassified	Dicarboxylic acids and derivatives
213368	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
79894	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Halopyrimidines	Halopyrimidines
173956	Phenylpropanoids and polyketides	Macrolides and analogues	unclassified	unclassified	Macrolides and analogues
18284	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
94415	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
2972	Organic nitrogen compounds	Organonitrogen compounds	unclassified	unclassified	Organonitrogen compounds
1973	Organic nitrogen compounds	Organonitrogen compounds	Amines	Tertiary amines	Dialkylarylamines
11105	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	unclassified	Benzoic acids and derivatives
103928	Organic acids and derivatives	Boronic acid derivatives	unclassified	unclassified	Boronic acid derivatives
2548	Organic nitrogen compounds	Organonitrogen compounds	unclassified	unclassified	Organonitrogen compounds
10579	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
56543	Organohalogen compounds	Aryl halides	Aryl chlorides	unclassified	Aryl chlorides
103973	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
2300	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
199251	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
105004	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
31198	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
110111	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
2173	Organoheterocyclic compounds	Azoles	Thiadiazoles	unclassified	Thiadiazoles
26160	Organosulfur compounds	Sulfoxides	unclassified	unclassified	Sulfoxides
30632	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids	Carotenoids	Xanthophylls
7123	Organoheterocyclic compounds	Pyridines and derivatives	unclassified	unclassified	Pyridines and derivatives
41000	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
77503	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Chlorobenzenes
49040	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
159138	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
84200	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Halopyrimidines	Halopyrimidines
34145	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
1512	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
122801	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
152442	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols	Primary alcohols
201850	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
60784	Organic salts	Organic metal salts	Organic metalloid salts	unclassified	Organic metalloid salts
11167	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	unclassified	Benzoic acids and derivatives
78934	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
28159	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
69531	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acid amides
71018	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Glycosyl compounds
270924	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
9034	unclassified	unclassified	unclassified	unclassified	unclassified
5082	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
73087	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
28020	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
74613	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
191662	Organoheterocyclic compounds	Azoles	Imidazoles	unclassified	Imidazoles
166492	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols	Primary alcohols
18111	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
130506	Organic nitrogen compounds	Organonitrogen compounds	Amines	Alkanolamines	Alkanolamines
55865	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes	unclassified	Nitrobenzenes
90738	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides
167840	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
52992	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
50936	Organic acids and derivatives	Boronic acid derivatives	unclassified	unclassified	Boronic acid derivatives
174382	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
112561	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
77225	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
255823	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
