cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
64150	Phenylpropanoids and polyketides	Linear 1,3-diarylpropanoids	Chalcones and dihydrochalcones	2'-Hydroxy-dihydrochalcones	2'-Hydroxy-dihydrochalcones
35550	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	unclassified	Benzenesulfonyl compounds
120086	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
59368	Benzenoids	Phenols	Methoxyphenols	unclassified	Methoxyphenols
22395	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-L-alpha-amino acids
83459	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
39478	Benzenoids	Benzene and substituted derivatives	Benzoyl derivatives	unclassified	Benzoyl derivatives
68556	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
13808	Lipids and lipid-like molecules	Fatty Acyls	unclassified	unclassified	Fatty Acyls
200897	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
36962	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
144171	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
165191	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
93205	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
17373	unclassified	unclassified	unclassified	unclassified	unclassified
34651	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Abscisic acids and derivatives	Abscisic acids and derivatives
183537	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid esters	Carboxylic acid esters
8281	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acid and derivatives
36189	Organic acids and derivatives	Hydroxy acids and derivatives	unclassified	unclassified	Hydroxy acids and derivatives
24421	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
14568	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
34957	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
34433	Benzenoids	Tetralins	unclassified	unclassified	Tetralins
6885	Phenylpropanoids and polyketides	Tannins	unclassified	unclassified	Tannins
660	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
120509	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Alkyl glycosides	Alkyl glycosides
124412	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	unclassified	Tricarboxylic acids and derivatives
168007	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acid esters	Coumaric acid esters
80158	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	unclassified	Diterpenoids
162565	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
205245	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
156687	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	unclassified	Glycerophosphates
12941	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
34574	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid O-glycosides
57936	unclassified	unclassified	unclassified	unclassified	unclassified
20607	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
27799	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Gamma-glutamyl peptides
